architecture,stage_a_threshold,specificity_threshold,weather_weight,availability_floor,recall,fpr,hard_negative_fpr,average_precision,worst_cell_recall,abstention_rate,feasible,metrics_json
H1,0.55,0.575,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.55,0.6,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.575,0.525,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":192},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":1.0,""chungju_spring"":1.0,""chungju_summer"":1.0,""chungju_winter"":1.0,""gangneung_autumn"":1.0,""gangneung_spring"":1.0,""gangneung_summer"":1.0,""gangneung_winter"":1.0,""suyeong_autumn"":1.0,""suyeong_spring"":1.0,""suyeong_summer"":1.0,""suyeong_winter"":1.0},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":1.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":1.0,""recall_wilson_95"":[0.98038485,1.0],""worst_cell_recall"":1.0}"
H1,0.575,0.55,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.575,0.575,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.575,0.6,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.6,0.525,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":192},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":1.0,""chungju_spring"":1.0,""chungju_summer"":1.0,""chungju_winter"":1.0,""gangneung_autumn"":1.0,""gangneung_spring"":1.0,""gangneung_summer"":1.0,""gangneung_winter"":1.0,""suyeong_autumn"":1.0,""suyeong_spring"":1.0,""suyeong_summer"":1.0,""suyeong_winter"":1.0},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":1.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":1.0,""recall_wilson_95"":[0.98038485,1.0],""worst_cell_recall"":1.0}"
H1,0.6,0.55,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.6,0.575,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H1,0.6,0.6,0.0,,0.875,0.0,0.0,1.0,0.875,0.0,True,"{""abstention_rate"":0.0,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":0,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H2,0.525,0.525,0.0,0.6,1.0,0.0,0.0,1.0,1.0,0.0625,True,"{""abstention_rate"":0.0625,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":24,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":192},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":1.0,""chungju_spring"":1.0,""chungju_summer"":1.0,""chungju_winter"":1.0,""gangneung_autumn"":1.0,""gangneung_spring"":1.0,""gangneung_summer"":1.0,""gangneung_winter"":1.0,""suyeong_autumn"":1.0,""suyeong_spring"":1.0,""suyeong_summer"":1.0,""suyeong_winter"":1.0},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":1.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":1.0,""recall_wilson_95"":[0.98038485,1.0],""worst_cell_recall"":1.0}"
H2,0.525,0.55,0.0,0.6,0.875,0.0,0.0,1.0,0.875,0.0625,True,"{""abstention_rate"":0.0625,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":24,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
H2,0.525,0.575,0.0,0.6,0.875,0.0,0.0,1.0,0.875,0.0625,True,"{""abstention_rate"":0.0625,""average_precision"":1.0,""counts"":{""abnormal"":192,""abstain"":24,""fp"":0,""hard_fp"":0,""hard_normal"":168,""normal"":192,""tp"":168},""fpr"":0.0,""fpr_wilson_95"":[0.0,0.01961515],""hard_negative_fpr"":0.0,""hard_negative_fpr_wilson_95"":[0.0,0.02235467],""per_cell_recall"":{""chungju_autumn"":0.875,""chungju_spring"":0.875,""chungju_summer"":0.875,""chungju_winter"":0.875,""gangneung_autumn"":0.875,""gangneung_spring"":0.875,""gangneung_summer"":0.875,""gangneung_winter"":0.875,""suyeong_autumn"":0.875,""suyeong_spring"":0.875,""suyeong_summer"":0.875,""suyeong_winter"":0.875},""per_type_recall"":{""deep_day_full_activation"":1.0,""deep_day_partial_activation"":1.0,""moderate_load_mismatch"":1.0,""phase_selective_activation"":1.0,""post_sunrise_persistent_activation"":1.0,""post_sunrise_weak_persistence"":0.0,""pre_sunset_early_activation"":1.0,""repeated_long_persistence"":1.0},""recall"":0.875,""recall_wilson_95"":[0.82074536,0.91454328],""worst_cell_recall"":0.875}"
